Region,Country,Category,Fact
오세아니아,뉴질랜드,자연환경,"북섬(주로 화산지형), 남섬(빙하 지형), 국토 전체가 서안해양성 기후"
오세아니아,뉴질랜드,갈등,"마오리족과 유럽계 갈등 발생, 공존 노력(마오리어 공용어 지정)"
건조아시아와 북부아프리카,튀르키예,자연환경,"아나톨리아 고원(신기 조산대), 파묵칼레(카르스트 지형)"
건조아시아와 북부아프리카,튀르키예,산업·경제,"2차 산업 내 제조업 생산액 비율이 상대적으로 높음"
건조아시아와 북부아프리카,튀르키예,갈등,"티그리스·유프라테스 강 상류 댐 건설로 수자원 갈등"
건조아시아와 북부아프리카,이집트,인구,"건조 아시아 및 북부 아프리카에서 인구 가장 많음"
건조아시아와 북부아프리카,이집트,자연환경,"나일강 하구 삼각주, 수에즈 운하"
건조아시아와 북부아프리카,이집트,기후,"국토 전체가 사막 기후, 오아시스·관개 농업(대추야자·밀)"
건조아시아와 북부아프리카,이집트,산업·경제,"관광 산업, 교통(수에즈 운하: 홍해와 지중해 연결)"
건조아시아와 북부아프리카,이집트,갈등,"국제·외래 하천인 나일강(상류에 위치한 에티오피아, 수단과 수자원 갈등)"
건조아시아와 북부아프리카,이란,인구,"건조 아시아 및 북부 아프리카에서 인구 2위"
건조아시아와 북부아프리카,이란,자연환경,"이란 고원(신기 조산대), 바드기르(환풍구), 카나트(지하 관개 시설)"
건조아시아와 북부아프리카,이란,농업·자원,"건조 기후, 밀·목화 재배"
건조아시아와 북부아프리카,이란,산업·경제,"석유·천연가스 자원 풍부(페르시아 만)"
건조아시아와 북부아프리카,이란,전통 음식,"케밥, 압구시트 등"
건조아시아와 북부아프리카,이란,종교,"이슬람교 중 시아파 비중이 높음"
건조아시아와 북부아프리카,수단,자연환경,"사헬 지대, 사막화 피해"
건조아시아와 북부아프리카,수단,갈등,"다르푸르 분쟁, 남수단 분리(2011)"
건조아시아와 북부아프리카,시리아,특징,"난민이 가장 많이 발생하는 국가"
건조아시아와 북부아프리카,모로코,자연환경,"아틀라스산맥(신기조산대), 지중해 인근 지역은 지중해성 기후"
건조아시아와 북부아프리카,모로코,인구 이동,"프랑스로 인구 이동(경제적 요인)이 많은 북부 아프리카 3인방 중 하나"
건조아시아와 북부아프리카,사우디아라비아,산업·경제,"세계 최대 산유국, '비전 2030' 신도시(네옴), 대추야자 재배"
건조아시아와 북부아프리카,사우디아라비아,사회·문화,"이슬람 성지 메카·메디나"
건조아시아와 북부아프리카,사우디아라비아,국제관계,"걸프 협력 회의(GCC) 회원국"
건조아시아와 북부아프리카,아랍에미리트,자연환경,"사막 기후, 두바이 아부다비 도시 발달"
건조아시아와 북부아프리카,리비아,자연환경,"사하라 사막"
건조아시아와 북부아프리카,리비아,산업·경제,"석유 자원 풍부"
건조아시아와 북부아프리카,아랍에미리트,산업·경제,"석유·천연가스"
건조아시아와 북부아프리카,아랍에미리트,사회·문화,"외국인 노동자 대규모 유입(청장년층에서 남초 현상 발생)"
건조아시아와 북부아프리카,아랍에미리트,국제관계,"걸프 협력 회의(GCC) 회원국"
건조아시아와 북부아프리카,카타르,산업·경제,"천연가스 대국, 고소득국"
건조아시아와 북부아프리카,카타르,사회·문화,"2022년 FIFA 월드컵 개최(겨울 개최)"
건조아시아와 북부아프리카,카타르,국제관계,"걸프 협력 회의(GCC) 회원국"
건조아시아와 북부아프리카,카자흐스탄,자연환경,"초원·스텝 기후, 아랄해 연안(사막화 문제)"
건조아시아와 북부아프리카,카자흐스탄,농업·자원,"유목, 석유·천연가스 생산(카스피해)"
건조아시아와 북부아프리카,카자흐스탄,전통가옥,"유르트(게르와 비슷)"
건조아시아와 북부아프리카,우즈베키스탄,특징,"아랄해 연안: 사막화 문제"
건조아시아와 북부아프리카,이스라엘,특징,"크리스트교·유대교·이슬람교 성지 공존"
유럽과 북부 아메리카,영국,역사,"산업혁명 발생지"
유럽과 북부 아메리카,영국,자연환경,"서안해양성 기후, 혼합농업, 목축업 및 낙농업 발달"
유럽과 북부 아메리카,영국,산업지역,"요크셔·랭커셔(전통 공업 지역, 쇠퇴), 뉴캐슬·미들즈브러(임해 공업), 케임브리지 사이언스 파크(첨단 산업)"
유럽과 북부 아메리카,영국,도시,"런던(최상위 계층 세계도시)"
유럽과 북부 아메리카,영국,갈등,"스코틀랜드 분리 독립 요구, 브렉시트(EU 탈퇴)"
유럽과 북부 아메리카,미국,전통 공업,"러스트 벨트 - 뉴잉글랜드(경공업), 중부 대서양 연안(기계·제철), 오대호 연안(자동차·제철)"
유럽과 북부 아메리카,미국,신흥 공업,"선벨트 - 멕시코만 연안 공업 지역, 태평양 연안 공업 지역"
유럽과 북부 아메리카,미국,주요 도시,"뉴욕(UN 본부, 최상위 계층 세계도시), 시카고(철도·수운 교통, 고층 스카이라인), 디트로이트(자동차 산업 쇠퇴), 휴스턴(석유 화학·우주항공), 로스앤젤레스(할리우드 영화), 시애틀(보잉 항공기, 스타벅스 본사)"
유럽과 북부 아메리카,프랑스,산업지역,"로렌(철강 공업, 쇠퇴), 르아브르·뒨케르크(임해 공업), 소피아 앙티폴리스(첨단 산업)"
유럽과 북부 아메리카,프랑스,도시,"파리: 라데팡스 업무지구"
유럽과 북부 아메리카,멕시코,산업·경제,"마킬라도라(미국 국경지대 조립가공업, NAFTA 이후 성장)"
유럽과 북부 아메리카,독일,산업지역,"루르·자르·작센(전통 공업, 쇠퇴·재생 노력), 라인·슈네(임해 공업 지역), 라인강"
유럽과 북부 아메리카,캐나다,사회·문화,"퀘벡주 프랑스어 사용, 분리 독립 요구"
유럽과 북부 아메리카,캐나다,경제,"USMCA(미·멕·캐 협정) 참여, 자원 부국"
유럽과 북부 아메리카,이탈리아,산업,"제3 이탈리아(섬유·의류·가죽, 중소기업 협동조합), 남북 경제 격차 큼"
유럽과 북부 아메리카,이탈리아,갈등,"파다니아(이탈리아 북부) 분리 독립 운동"
유럽과 북부 아메리카,스페인,산업,"빌바오 철강 산업(전통 공업, 쇠퇴)"
유럽과 북부 아메리카,스페인,갈등,"카탈루냐 분리 독립(바르셀로나 중심), 바스크 분리 운동"
유럽과 북부 아메리카,벨기에,특징,"EU 본부(브뤼셀) 소재"
유럽과 북부 아메리카,스웨덴,특징,"시스타 사이언스 시티(스톡홀름, ICT 중심 첨단 산업 클러스터)"
유럽과 북부 아메리카,핀란드,특징,"오울루(과거 제지·연어 무역항 ICT 클러스터, 노키아 중심, 산학 협력)"
유럽과 북부 아메리카,스위스,특징,"EU 비회원국, 그러나 솅겐 협정 가입으로 자유 이동 가능"

